state (Emission order)	H3K4me3	H3K27ac	H3K4me1	H3K36me3	H3K9me3	H3K27me3
1_TssA	0.9860355948011029	0.9539056595448477	0.030053187089680973	0.02764296925660217	0.0032193569870475917	0.02959836832584235
2_TssFlnk	0.7800989060273869	0.05505355127021762	0.0780696195479575	0.009783155047764332	0.003743590235955386	0.007865243381069734
3_TssFlnkU	0.9800866829722312	0.9954410773317323	0.9633891670200536	0.02192107107416376	0.0033718397504957916	0.013426620444781663
4_TssFlnkD	0.9231876549546565	0.10727097332888559	0.915181921251526	0.040737401887771314	0.007478882209288121	0.014942703962197568
5_Tx	7.436515877510849E-4	0.007355831609184556	0.002421661171231221	0.6648164893954007	0.007655949401531177	0.0010370710499208746
6_TxWk	3.862053612070334E-4	0.00235597304005621	0.007514955358229565	0.04239029472261704	0.0017628246302719734	4.4396842413284727E-4
7_EnhG1	0.022132574662845704	0.185723100589072	0.4470343489534681	0.6936054193747656	0.007694537381933005	0.002829512868833555
8_EnhG2	0.2887626517582264	0.8482365283018388	0.90630779046781	0.7880690517128838	0.013103042977112341	0.0025009357079145153
9_EnhA1	0.06102575949466964	0.9161613600212115	0.9198161246356733	0.017902771669661678	0.00659997982552515	0.00345363478326375
10_EnhA2	0.009006198342607656	0.5017887811945405	0.14493928730528224	0.010533843435669554	0.006738673990565066	0.0029820953736905504
11_EnhWk	0.005240027603576305	0.04086407208041034	0.6586553512703789	0.010170854963640568	0.003615771640086989	0.0039787128691234075
12_ZNF/Rpts	0.0450837301766684	0.003805591342449813	0.005336560841186999	0.08436213886861724	0.7779547401856199	0.016404707937810223
13_Het	5.305869998318799E-4	1.0935033977524181E-4	2.3914434151137736E-4	1.1962715040423828E-4	0.1094145040804638	0.00126577775035743
14_TssBiv	0.9637737561733867	0.13531364328981643	0.5828682763425204	0.020244656497021306	0.0512788542465809	0.8477273057135146
15_EnhBiv	0.03423126756983473	0.04887332307558697	0.7111939585515471	0.011057266855843004	0.034510206306245676	0.7231687216809048
16_ReprPC	0.0018244431882550708	0.0021056355862528573	0.0020730361031962284	0.0036436629519876664	0.02741438380226494	0.6643146900491224
17_ReprPCWk	4.0583091382433845E-4	4.7564699939843855E-4	0.0025501040222913585	2.2132906149210512E-4	0.004651966038671538	0.06387841471200294
18_Quies	2.0300311817790078E-4	2.480988349345281E-4	0.0010892226460754851	2.557229028095522E-4	0.002896312802923811	0.0016700971396143686
