state	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
1	-2	-1	-1	-1	0	0	0	0	0	0	0	1	1	1	1	1	1	-2
2	-1	-2	-1	-1	0	0	0	0	0	0	0	1	1	1	1	1	1	-2
3	-1	-1	-2	-1	0	0	0	0	0	0	0	1	1	1	1	1	1	-2
4	-1	-1	-1	-2	0	0	0	0	0	0	0	1	1	1	1	1	1	-2
5	0	0	0	0	-2	-1	0	0	0	0	0	1	1	1	1	1	1	-2
6	0	0	0	0	-1	-2	0	0	0	0	0	1	1	1	1	1	1	-2
7	0	0	0	0	0	0	-2	-1	0	0	0	1	1	1	1	1	1	-2
8	0	0	0	0	0	0	-1	-2	0	0	0	1	1	1	1	1	1	-2
9	0	0	0	0	0	0	0	0	-2	-1	0	1	1	1	1	1	1	-2
10	0	0	0	0	0	0	0	0	-1	-2	0	1	1	1	1	1	1	-2
11	0	0	0	0	0	0	0	0	0	0	-2	1	1	1	1	1	1	-2
12	1	1	1	1	1	1	1	1	1	1	1	-2	-1	1	1	-1	-1	-2
13	1	1	1	1	1	1	1	1	1	1	1	-1	-2	1	1	-1	-1	-2
14	1	1	1	1	1	1	1	1	1	1	1	1	1	-2	0	1	1	-2
15	1	1	1	1	1	1	1	1	1	1	1	1	1	0	-2	1	1	-2
16	1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	-2	-1	-2
17	1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	-1	-2	-2
18	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2
